timestamp,AAPL,MSFT,NVDA,AMZN,GOOGL,META,BRK-B,TSLA,LVMUY,JPM
2024-09-04,220.36500549316406,407.26654052734375,106.18383026123047,173.3300018310547,155.88427734375,511.38348388671875,478.57000732421875,219.41000366210938,142.3000030517578,215.54638671875
2024-09-05,221.89163208007812,406.7585754394531,107.18358612060547,177.88999938964844,156.6714324951172,515.4926147460938,464.9200134277344,230.1699981689453,137.35000610351562,213.87571716308594
2024-09-06,220.3350830078125,400.0953063964844,102.8046646118164,171.38999938964844,150.374267578125,498.94647216796875,459.4200134277344,210.72999572753906,135.67999267578125,208.79490661621094
2024-09-09,220.42486572265625,404.0992431640625,106.44377136230469,175.39999389648438,148.368896484375,503.45452880859375,459.6099853515625,216.27000427246094,136.4600067138672,213.06985473632812
2024-09-10,219.6266326904297,412.5453796386719,108.0733642578125,179.5500030517578,148.31900024414062,503.45452880859375,458.9200134277344,226.1699981689453,135.36000061035156,202.01393127441406
2024-09-11,222.1710205078125,421.3500671386719,116.88119506835938,184.52000427246094,150.8132781982422,510.4758605957031,453.1000061035156,228.1300048828125,135.08999633789062,203.65512084960938
2024-09-12,222.28077697753906,425.29425048828125,119.12083435058594,187.0,154.33517456054688,524.2094116210938,450.8699951171875,229.80999755859375,134.8800048828125,203.03598022460938
2024-09-13,222.01138305664062,428.8699035644531,119.0808334350586,186.49000549316406,157.09881591796875,523.2320556640625,447.6099853515625,230.2899932861328,134.9499969482422,200.79531860351562
2024-09-16,215.84495544433594,429.6169128417969,116.7612075805664,184.88999938964844,157.6974334716797,532.3765869140625,451.7799987792969,226.77999877929688,135.22999572753906,204.2742462158203
2024-09-17,216.31390380859375,433.41168212890625,115.57140350341797,186.8800048828125,158.95455932617188,535.4114379882812,456.67999267578125,227.8699951171875,134.94000244140625,205.64027404785156
2024-09-18,220.20535278320312,429.0890197753906,113.35176086425781,186.42999267578125,159.44342041015625,537.0386352539062,456.6000061035156,227.1999969482422,133.3000030517578,203.94993591308594
2024-09-19,228.3673858642578,436.93756103515625,117.85104370117188,189.8699951171875,161.76808166503906,558.1527709960938,459.7099914550781,243.9199981689453,137.3000030517578,206.8490447998047
2024-09-20,227.6988525390625,433.53118896484375,115.98133850097656,191.60000610351562,163.21475219726562,560.39892578125,455.30999755859375,238.25,132.72000122070312,207.4485321044922
2024-09-23,225.97265625,431.77825927734375,116.24130249023438,193.8800048828125,161.47874450683594,563.4537963867188,454.9800109863281,250.0,132.24000549316406,207.79249572753906
2024-09-24,226.8706817626953,427.4555969238281,120.85055541992188,193.9600067138672,161.917724609375,562.3756713867188,454.55999755859375,254.27000427246094,138.2100067138672,207.9398956298828
2024-09-25,225.8728790283203,430.3838195800781,123.4901351928711,192.52999877929688,161.11956787109375,567.34716796875,452.3599853515625,257.0199890136719,137.77999877929688,206.56407165527344
2024-09-26,227.02035522460938,429.5870361328125,124.02005004882812,191.16000366210938,162.35671997070312,566.8780517578125,454.17999267578125,254.22000122070312,152.9600067138672,206.1611328125
2024-09-27,227.2897491455078,426.3101501464844,121.38047790527344,187.97000122070312,163.5739288330078,566.3988037109375,457.4700012207031,260.4599914550781,156.2899932861328,206.8686981201172
2024-09-30,232.4883270263672,428.5810546875,121.42046356201172,186.3300018310547,165.46957397460938,571.47021484375,460.260009765625,261.6300048828125,153.61000061035156,207.22250366210938
2024-10-01,225.71324157714844,419.00946044921875,116.9811782836914,185.1300048828125,166.60696411132812,575.4933471679688,457.4100036621094,258.0199890136719,147.47000122070312,203.46839904785156
2024-10-02,226.281982421875,415.4636535644531,118.83087921142578,184.75999450683594,165.47955322265625,571.839599609375,456.6700134277344,249.02000427246094,147.66000366210938,203.71408081054688
2024-10-03,225.17440795898438,414.87603759765625,122.83023834228516,181.9600067138672,165.47955322265625,581.78271484375,452.9599914550781,240.66000366210938,145.86000061035156,201.6896209716797
2024-10-04,226.30194091796875,414.39794921875,124.89990234375,186.50999450683594,166.67678833007812,594.930419921875,461.9700012207031,250.0800018310547,146.6999969482422,208.84832763671875
2024-10-07,221.20315551757812,407.90399169921875,127.69945526123047,180.8000030517578,162.6061553955078,583.789306640625,453.5,240.8300018310547,148.92999267578125,208.5615692138672
2024-10-08,225.27420043945312,413.0533447265625,132.86862182617188,182.72000122070312,164.00294494628906,591.8855590820312,453.79998779296875,244.5,144.67999267578125,208.38360595703125
2024-10-09,229.03591918945312,415.7923278808594,132.62864685058594,185.1699981689453,161.4887237548828,589.5095825195312,455.8999938964844,241.0500030517578,144.0399932861328,211.02362060546875
2024-10-10,228.53701782226562,414.1788330078125,134.78829956054688,186.64999389648438,161.70822143554688,582.8408813476562,454.92999267578125,238.77000427246094,143.99000549316406,210.45013427734375
2024-10-11,227.05029296875,414.6568908691406,134.7783203125,188.82000732421875,162.8655548095703,588.9505615234375,460.2099914550781,217.8000030517578,142.97000122070312,219.7940216064453
2024-10-14,230.79205322265625,417.4656677246094,138.0478057861328,187.5399932861328,164.5816192626953,589.419677734375,459.9800109863281,219.16000366210938,139.47000122070312,218.9931182861328
2024-10-15,233.33645629882812,417.0672302246094,131.57884216308594,187.69000244140625,165.08047485351562,585.2767944335938,462.67999267578125,219.57000732421875,128.39999389648438,219.89291381835938
2024-10-16,231.27099609375,414.45770263671875,135.6981658935547,186.88999938964844,164.78114318847656,575.8128051757812,465.69000244140625,221.3300018310547,130.3000030517578,221.12887573242188
2024-10-17,231.6401824951172,415.0552978515625,136.90797424316406,187.52999877929688,162.55625915527344,575.95263671875,465.8500061035156,220.88999938964844,130.9600067138672,221.9001007080078
2024-10-18,234.48391723632812,416.48956298828125,137.97779846191406,188.99000549316406,163.04515075683594,575.4933471679688,464.79998779296875,220.6999969482422,135.3000030517578,222.8394317626953
2024-10-21,235.96067810058594,417.1070861816406,143.6868896484375,189.07000732421875,163.69366455078125,574.185546875,464.1600036621094,218.85000610351562,132.4600067138672,220.4960479736328
2024-10-22,235.342041015625,425.8022155761719,143.56690979003906,189.6999969482422,164.76119995117188,581.0240478515625,461.45001220703125,217.97000122070312,133.4499969482422,221.6034698486328
2024-10-23,230.25323486328125,422.9038391113281,139.5375518798828,184.7100067138672,162.4066162109375,562.7349853515625,460.6099853515625,213.64999389648438,132.02999877929688,220.90145874023438
2024-10-24,230.0636749267578,423.0333251953125,140.38742065429688,186.3800048828125,162.34674072265625,566.818115234375,457.7699890136719,260.4800109863281,135.8000030517578,222.4538116455078
2024-10-25,230.9018096923828,426.43963623046875,141.51722717285156,187.8300018310547,164.89089965820312,572.27880859375,454.010009765625,269.19000244140625,134.75999450683594,219.8137969970703
2024-10-28,232.88743591308594,424.8858642578125,140.49740600585938,188.38999938964844,166.3375701904297,577.1804809570312,458.489990234375,262.510009765625,137.3300018310547,222.9679718017578
2024-10-29,233.15684509277344,430.2244873046875,141.22727966308594,190.8300018310547,169.29078674316406,592.2749633789062,454.6199951171875,259.5199890136719,136.17999267578125,220.3971710205078
2024-10-30,229.5946807861328,430.8021545410156,139.3175811767578,192.72999572753906,174.059814453125,590.79736328125,454.9599914550781,257.54998779296875,134.16000366210938,221.8902130126953
2024-10-31,225.4138946533203,404.72674560546875,132.7386474609375,186.39999389648438,170.71751403808594,566.6184692382812,450.9200134277344,249.85000610351562,132.58999633789062,219.4281768798828
2024-11-01,222.42047119140625,408.7306823730469,135.3782196044922,197.92999267578125,170.89707946777344,566.1991577148438,452.1400146484375,248.97999572753906,131.6999969482422,220.4367218017578
2024-11-04,221.52244567871094,406.82830810546875,136.0281219482422,195.77999877929688,168.851806640625,559.7301025390625,442.2900085449219,242.83999633789062,131.41000366210938,217.31219482421875
2024-11-05,222.95928955078125,409.8163146972656,139.8874969482422,199.5,169.35064697265625,571.460205078125,445.05999755859375,251.44000244140625,131.5,219.00302124023438
